distance,cover,overlap,score
500,0.01868998239086153,0.1890123038880188,0.8296776785028427
1000,0.07011159484672946,0.2107150097423668,0.8593965851043627
1500,0.1481549814151848,0.234580714837481,0.9135742665777038
2000,0.24925684449718655,0.2597710695854118,0.9894857749117747
2500,0.36413048523242386,0.294445853066746,1.0696846321656779
3000,0.48136210045748884,0.3400126468410224,1.1413494536164666
3500,0.5870633805531204,0.3949229622723219,1.1921404182807986
4000,0.678181495360623,0.4507969720076247,1.2273845233529983
4500,0.7462847657184452,0.5077686311629218,1.2385161345555233
5000,0.7929968494459908,0.5615558032931016,1.2314410461528893
5500,0.8285138758873772,0.6077497436442438,1.2207641322431333
6000,0.8554735320612995,0.6468015092747764,1.208672022786523
6500,0.8750597069772363,0.6798966859734241,1.1951630210038122
7000,0.8916405086937872,0.7077985048871176,1.1838420038066695
7500,0.9058862427686563,0.7314787849071204,1.1744074578615358
8000,0.9184678660057622,0.7517051091940149,1.1667627568117473
